UniqueCount	AmbigCount
0	0
1	0
0	0
27	0
0	0
1807	3013
16	3007
1	447
0	116
3	98
0	0
0	364
0	425
0	0
0	327
0	0
0	1
0	5
1	50
0	50
0	50
1	0
0	8
0	0
0	0
273	0
28	200
3	198
45	0
65	89
4	29
0	0
1	13
6	0
1	47
4	25
0	12
0	1
3	0
13	94
4	91
0	20
0	3
0	3
0	21
0	8
3	0
0	0
0	0
0	0
0	0
0	1
0	9
0	0
0	1
0	8
0	0
0	4
0	0
0	2
0	2
110	0
0	0
0	0
52	0
0	0
24	0
0	0
6	5
0	4
94	22
2	22
0	0
10	21
0	21
0	13
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	7
0	5
0	4
0	4
0	4
0	4
0	0
0	0
0	0
2	2
3	104
203	106
0	2
0	2
0	7
0	13
0	12
0	5
0	0
0	0
0	81
0	110
3	104
0	28
0	66
0	54
0	0
0	0
4	0
0	19
6	3
0	1
0	2
0	2
295	978
1	978
0	572
0	572
0	83
0	0
5	37
0	19
0	27
53	516
0	178
19	516
0	0
0	1
0	1
3	0
0	0
353	151
3	151
5	32
0	26
0	0
20	0
0	0
0	0
631	734
0	22
1	51
5	667
1	438
3	0
0	0
1278	6
0	0
0	0
0	0
0	0
13	0
218	771
112	776
0	438
13	294
17	507
1	67
0	2
2	42
0	67
0	21
0	0
0	0
0	0
1	2
0	1
0	0
0	1
0	0
0	0
0	1
32	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	325
18	450
0	76
0	363
0	363
0	23
0	211
0	15
0	0
0	0
0	0
41	89
0	89
0	0
6	0
0	0
0	0
6	123
0	0
0	0
0	0
2	0
0	0
4800	14
0	0
0	2
0	2
2	75
1	75
205	0
0	12
0	5
0	7
0	10
14	252
0	7
0	5
0	5
0	5
0	7
0	7
0	5
0	5
0	10
0	6
0	10
0	7
0	251
0	247
0	1
0	1
0	1
0	0
0	0
0	12
0	0
0	0
350	0
199	746
0	728
64	728
14	747
0	647
5	0
0	1
0	41
39	2476
188	2577
1	198
0	181
0	60
0	25
0	82
0	48
0	6
0	12
0	6
23	0
100	224
0	154
2	224
4	42
16	25
1	37
0	18
0	0
0	2
20	2151
3	2520
6	2502
2	636
3	0
0	0
16	12
1	0
0	0
0	0
269	0
178	1116
205	575
2	387
3	49
1	412
0	18
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	0
43	663
0	0
0	0
0	0
0	0
0	0
0	0
0	0
521	2
0	0
0	0
0	0
0	0
0	0
807	2
405	0
0	0
0	143
0	172
6	200
0	208
0	202
1	57
4	12
0	52
0	31
0	2
0	0
9	39
0	14
0	1
0	0
0	8
14	27
0	0
0	81
3	0
8	39
0	809
5	5
0	0
0	335
0	812
11	0
1650	18
0	0
9076	46
0	0
1	303
0	262
6	233
5	2
0	6
1	6
0	0
4460	971
17	635
10	193
3	73
0	48
35	254
0	0
1	0
0	0
0	0
0	0
68	220
0	222
0	5
0	72
254	1532
1	1526
0	234
0	3
0	35
0	5
0	236
0	2505
313	2515
0	0
8	0
5	1094
0	929
0	1252
1	10
1	860
0	1129
2	746
11	80
7	66
0	301
0	0
10	15
0	13
0	10
0	9
1	7
0	2
0	0
1	0
2	2
0	0
54	9
0	9
0	7
0	7
0	7
0	0
0	0
17	306
422	257
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	1230
0	0
0	0
0	32
0	1231
0	29
0	1230
24	1230
92	1415
1	130
2	196
0	351
3	82
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	40
1	47
3	0
0	0
5	13
0	19
0	1
3	5
4	42
0	13
0	4
0	40
0	39
0	1
0	0
0	0
5	3
0	1
3	13
0	0
0	0
0	0
0	0
0	0
31	3
0	3
0	3
0	0
0	0
0	0
15	0
0	0
47	88
0	63
0	10
1	26
0	0
113	0
0	0
0	0
0	0
1714	17
0	0
7	0
1	0
5	171
0	171
1	32
0	11
0	0
0	38
1	0
0	0
0	0
0	0
