glycan	G1-1	G1-2	G1-3	G1-4	G1-5	G1-6	G1-7	G1-8
Gal(b1-3)GalNAc	0.2429592935761743	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	0.2082666874176648	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	0.2235288153911079	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	0.2458926516123501	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	0.2970721810317853	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	0.1807477185862427	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	0.2489269837707002	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	0.3060044012250449
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	0.007172373047577073	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	0.01226687550900004	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	0.017346294431475	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	0.004030472609438979	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	0.006302306838519463	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	0.01203947979454532	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	0.005053644526641384	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	0.005923085308000351
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
GalOS(b1-3)GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	0.1408199344376465	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	0.1833201336196164	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	0.1827162621902576	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	0.2029309491733083	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	0.1607002267224685	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	0.1428611023752638	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	0.1405953898814278	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	0.1698628984326051
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
Gal(b1-3)[Fuc(a1-?)]GalNAc	NA	NA	NA	NA	NA	NA	NA	NA
