User_ID	HAI_Inflammation	HAI_Epithelial_Defects	HAI_Oxyntic_Atrophy	HAI_Hyperplasia	HAI_Pseudopyloric	HAI_Dysplasia	HAI_Mucous_Metaplasia	HAI_Total	Bacteria	Infected	condition	Successfully_Sequenced
H9_01	0	0	0	0	0	0	0	0	0	Non_Infected	Non_Infected	TRUE
H9_02	2	0.5	0	0	0	0	0	2.5	0	Non_Infected	Non_Infected	TRUE
H9_03	0	0.5	0	0	0	0	0	0.5	0	Non_Infected	Non_Infected	TRUE
H9_04	0.5	0.5	0	0	0	0	0	1	0	Non_Infected	Non_Infected	TRUE
H9_05	0	0	0		0	0	0	0	0	Non_Infected	Non_Infected	TRUE
H9_06	1	2	1	2	0	0	0	6	53	Infected	Infected	TRUE
H9_07	1	1	1	0	0	0	0	3	70.8	Infected	Infected	TRUE
H9_08	2.5	2	2	2	0	0	0.5	9	46.6	Infected	Infected	FALSE
H9_09		2	1	0.5	0	0		3.5	11.4	Infected	Infected	TRUE
H9_10	1	1	1	0	0	0	0	3	27	Infected	Infected	TRUE
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
