name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
mmu05208	Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)	KEGG	215	0.0775169483853835	7.67631601099859e-36	1.41288227535161e-22	3.29453001412488e-24
mmu05010	Alzheimer disease - Mus musculus (house mouse)	KEGG	363	0.0572094052506879	2.08218611987125e-28	6.17237898313511e-06	3.29453001412488e-24
mmu05171	Coronavirus disease - COVID-19 - Mus musculus (house mouse)	KEGG	252	0.0362196472319969	8.21695633480092e-19	0.00335921082969342	3.29453001412488e-24
mmu04932	Non-alcoholic fatty liver disease - Mus musculus (house mouse)	KEGG	149	0.0230451494541403	3.43035228319408e-11	0.00118737045554587	3.29453001412488e-24
R-MMU-9006925	Mus musculus: Intracellular signaling by second messengers	Reactome	259	0.0183219055671581	4.90967440942631e-08	6.20758244582805e-05	3.29453001412488e-24
R-MMU-9711123	Mus musculus: Cellular response to chemical stress	Reactome	167	0.0181553922583139	6.38028649241371e-08	8.76802579721009e-06	3.29453001412488e-24
R-MMU-9006934	Mus musculus: Signaling by Receptor Tyrosine Kinases	Reactome	405	0.0175778294115095	1.61173443323753e-07	3.93685105617826e-08	3.29453001412488e-24
R-MMU-5607764	Mus musculus: CLEC7A (Dectin-1) signaling	Reactome	93	0.0160576571151536	1.92826226247744e-06	0.00026062578447422	3.29453001412488e-24
R-MMU-195721	Mus musculus: Signaling by WNT	Reactome	227	0.0129614531952946	0.000354667832734432	0.000219637581685091	3.29453001412488e-24
mmu04714	Thermogenesis - Mus musculus (house mouse)	KEGG	223	0.0128860552551871	0.000401520078813863	1.29213757677628e-05	3.29453001412488e-24
mmu05132	Salmonella infection - Mus musculus (house mouse)	KEGG	245	0.0107627918143812	0.0151313032381613	2.12597474778569e-09	3.29453001412488e-24
R-MMU-422475	Mus musculus: Axon guidance	Reactome	263	0.00907437136150612	0.260899258066458	0.00113573313229991	3.29453001412488e-24
R-MMU-983169	Mus musculus: Class I MHC mediated antigen processing & presentation	Reactome	340	0.00873680882348512	0.452761251742006	0.000123381278686106	3.29453001412488e-24
R-MMU-6807070	Mus musculus: PTEN Regulation	Reactome	114	0.00855602577887365	0.604801948844845	0.00133317341391449	3.29453001412488e-24
R-MMU-72766	Mus musculus: Translation	Reactome	231	0.00849363193397021	0.665583529858021	1.22840820140383e-05	3.29453001412488e-24
R-MMU-72706	Mus musculus: GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome	116	0.00849363193397021	0.665583529858021	0.000239080747345337	3.29453001412488e-24
R-MMU-72689	Mus musculus: Formation of a pool of free 40S subunits	Reactome	105	0.00844788833609712	0.708850554791912	2.19635334274992e-25	3.29453001412488e-24
R-MMU-9755511	Mus musculus: KEAP1-NFE2L2 pathway	Reactome	78	0.00830345661779756	0.889522361178393	0.00631241532281353	3.29453001412488e-24
R-MMU-9012999	Mus musculus: RHO GTPase cycle	Reactome	417	0.00734227331922479	1	5.01599354878461e-14	3.29453001412488e-24
R-MMU-199977	Mus musculus: ER to Golgi Anterograde Transport	Reactome	148	0.00543111925290211	1	3.9992157356039e-10	3.29453001412488e-24
R-MMU-9837999	R-MMU-9837999	Reactome	80	0.00248949210142393	1	4.72132607765111e-07	3.29453001412488e-24
R-MMU-9013418	Mus musculus: RHOBTB2 GTPase cycle	Reactome	23	0.00284597103440085	1	5.56287701339156e-07	3.29453001412488e-24
mmu03250	Viral life cycle - HIV-1 - Mus musculus (house mouse)	KEGG	60	0.00267603614023467	1	1.86345792776244e-06	3.29453001412488e-24
R-MMU-8980692	Mus musculus: RHOA GTPase cycle	Reactome	141	0.00358199092748157	1	1.91846078246896e-06	3.29453001412488e-24
mmu04137	Mitophagy - animal - Mus musculus (house mouse)	KEGG	97	0.00300432657017202	1	3.7135284745475e-06	3.29453001412488e-24
R-MMU-3700989	Mus musculus: Transcriptional Regulation by TP53	Reactome	305	0.00461570262177636	1	5.51143853304513e-06	3.29453001412488e-24
R-MMU-5357801	Mus musculus: Programmed Cell Death	Reactome	136	0.00680620905738869	1	8.46912054228729e-06	3.29453001412488e-24
R-MMU-1236975	Mus musculus: Antigen processing-Cross presentation	Reactome	83	0.00477136994179976	1	3.25435591786572e-05	3.29453001412488e-24
R-MMU-8856828	Mus musculus: Clathrin-mediated endocytosis	Reactome	140	0.0048395781425221	1	3.3647267857356e-05	3.29453001412488e-24
