GENEID	GeneSymbol	log2FoldChange	adj_pvalue	pvalue	Comparison
ENSMUSG00000000001	Gnai3	-0.1180442666386857	0.5521707143295461	0.21855248236349753	Infected_vs_Non_Infected
ENSMUSG00000000028	Cdc45	-0.534862179785742	0.9417343249951042	0.22961895910450825	Infected_vs_Non_Infected
ENSMUSG00000000031	H19	-2.6272132829454535	1	0.26010979309581134	Infected_vs_Non_Infected
ENSMUSG00000000037	Scml2	-0.2081741084941185	1	0.6986176604170966	Infected_vs_Non_Infected
ENSMUSG00000000049	Apoh	0.331294886364381	1	0.8012348762201651	Infected_vs_Non_Infected
ENSMUSG00000000056	Narf	-0.21382145075798012	0.6172941074781382	0.20919677021543628	Infected_vs_Non_Infected
ENSMUSG00000000058	Cav2	-0.3477152312810687	0.3362790383287492	0.048444306449590115	Infected_vs_Non_Infected
ENSMUSG00000000078	Klf6	0.15799998764269457	0.575064300372874	0.23417633305866362	Infected_vs_Non_Infected
ENSMUSG00000000085	Scmh1	-0.09729040187902369	0.7804455467528195	0.4309595469033452	Infected_vs_Non_Infected
ENSMUSG00000000088	Cox5a	-0.12570483476357924	0.6865366531310078	0.31559122615099594	Infected_vs_Non_Infected
ENSMUSG00000000093	Tbx2	0.36641786051535413	0.403118313157289	0.03705223638703539	Infected_vs_Non_Infected
ENSMUSG00000000094	Tbx4	0.7320660910392479	1	0.14252630485181297	Infected_vs_Non_Infected
ENSMUSG00000000120	Ngfr	1.1267215434751794	1	0.41539747181066905	Infected_vs_Non_Infected
ENSMUSG00000000125	Wnt3	0.18848868232687493	1	0.9551635720284316	Infected_vs_Non_Infected
ENSMUSG00000000126	Wnt9a	-0.5117309551333644	0.8283547820017488	0.1468127019807123	Infected_vs_Non_Infected
ENSMUSG00000000127	Fer	-0.10094662153158118	0.7576151376981757	0.37638199161167957	Infected_vs_Non_Infected
ENSMUSG00000000131	Xpo6	-0.07649148539210139	0.7953952056450333	0.5354970308689879	Infected_vs_Non_Infected
ENSMUSG00000000134	Tfe3	0.03958593612272765	0.9235731399104873	0.7436425486620599	Infected_vs_Non_Infected
ENSMUSG00000000142	Axin2	-0.04309231664127374	1	0.9283789225325797	Infected_vs_Non_Infected
ENSMUSG00000000148	Brat1	-0.25356214833733226	0.9049620710083264	0.2575593093017552	Infected_vs_Non_Infected
ENSMUSG00000000149	Gna12	-0.010174458311828644	0.9882071902429286	0.9229689801556888	Infected_vs_Non_Infected
ENSMUSG00000000154	Slc22a18	-0.166884003203717	0.8915959538764601	0.39417747762123023	Infected_vs_Non_Infected
ENSMUSG00000000157	Itgb2l	-0.2124202018001422	1	0.9149782784326962	Infected_vs_Non_Infected
ENSMUSG00000000159	Igsf5	-0.35625828582732616	0.2688117754661792	0.03158035465728417	Infected_vs_Non_Infected
ENSMUSG00000000167	Pih1d2	-0.899117295306853	0.39259603135570753	0.019714093934288725	Infected_vs_Non_Infected
ENSMUSG00000000168	Dlat	-9.188516375499107e-4	1	0.9927874147593816	Infected_vs_Non_Infected
ENSMUSG00000000171	Sdhd	-0.10067552926991388	0.588549315287972	0.23045406408700853	Infected_vs_Non_Infected
ENSMUSG00000000182	Fgf23	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000184	Ccnd2	0.5983397462426094	0.3640722811265186	0.0567251596206125	Infected_vs_Non_Infected
ENSMUSG00000000194	Gpr107	-0.07054945903310957	0.8451959216852024	0.5811904152042989	Infected_vs_Non_Infected
ENSMUSG00000000197	Nalcn	0.26970662622001546	1	0.9129492075458902	Infected_vs_Non_Infected
