GENEID	GeneSymbol	log2FoldChange	adj_pvalue	pvalue	Comparison
ENSMUSG00000000001	Gnai3	-0.11804426663868506	0.552170714325497	0.2185524823618948	Infected_vs_Non_Infected
ENSMUSG00000000028	Cdc45	-0.5348621797858308	0.9417343250494603	0.22961895910313207	Infected_vs_Non_Infected
ENSMUSG00000000031	H19	-2.627213282945517	1	0.26010979309319243	Infected_vs_Non_Infected
ENSMUSG00000000037	Scml2	-0.20817410849424828	1	0.69861766041519	Infected_vs_Non_Infected
ENSMUSG00000000049	Apoh	0.33129488636449983	1	0.8012348762190191	Infected_vs_Non_Infected
ENSMUSG00000000056	Narf	-0.21382145075798156	0.6172941075072943	0.2091967702158324	Infected_vs_Non_Infected
ENSMUSG00000000058	Cav2	-0.347715231281071	0.3362790383261163	0.04844430644969737	Infected_vs_Non_Infected
ENSMUSG00000000078	Klf6	0.15799998764269677	0.5750643001454468	0.23417633305862187	Infected_vs_Non_Infected
ENSMUSG00000000085	Scmh1	-0.09729040187897992	0.780445546763769	0.4309595469014264	Infected_vs_Non_Infected
ENSMUSG00000000088	Cox5a	-0.12570483476357783	0.6865366531431405	0.3155912261508073	Infected_vs_Non_Infected
ENSMUSG00000000093	Tbx2	0.3664178605153035	0.40311831312992863	0.03705223638619686	Infected_vs_Non_Infected
ENSMUSG00000000094	Tbx4	0.7320660910392721	1	0.14252630485061862	Infected_vs_Non_Infected
ENSMUSG00000000120	Ngfr	1.1267215434748785	1	0.4153974718092063	Infected_vs_Non_Infected
ENSMUSG00000000125	Wnt3	0.18848868232687493	1	0.9551635720284316	Infected_vs_Non_Infected
ENSMUSG00000000126	Wnt9a	-0.5117309551331706	0.8283547820001694	0.1468127019787604	Infected_vs_Non_Infected
ENSMUSG00000000127	Fer	-0.10094662153157052	0.7576151377317292	0.3763819916100388	Infected_vs_Non_Infected
ENSMUSG00000000131	Xpo6	-0.07649148539210236	0.7953952056656373	0.5354970308685176	Infected_vs_Non_Infected
ENSMUSG00000000134	Tfe3	0.03958593612272231	0.9235731399514954	0.7436425486610684	Infected_vs_Non_Infected
ENSMUSG00000000142	Axin2	-0.04309231664125029	1	0.9283789225323613	Infected_vs_Non_Infected
ENSMUSG00000000148	Brat1	-0.2535621483373423	0.9049620710134463	0.2575593093004041	Infected_vs_Non_Infected
ENSMUSG00000000149	Gna12	-0.01017445831182994	0.9882071902938515	0.922968980155178	Infected_vs_Non_Infected
ENSMUSG00000000154	Slc22a18	-0.16688400320372215	0.8915959539235286	0.39417747762175676	Infected_vs_Non_Infected
ENSMUSG00000000157	Itgb2l	-0.21242020180015866	1	0.9149782784321037	Infected_vs_Non_Infected
ENSMUSG00000000159	Igsf5	-0.356258285827327	0.2688117754774928	0.03158035465753332	Infected_vs_Non_Infected
ENSMUSG00000000167	Pih1d2	-0.8991172953067492	0.3925960313546968	0.019714093933878685	Infected_vs_Non_Infected
ENSMUSG00000000168	Dlat	-9.18851637541605e-4	1	0.9927874147594157	Infected_vs_Non_Infected
ENSMUSG00000000171	Sdhd	-0.10067552926991416	0.58854931532359	0.23045406408454183	Infected_vs_Non_Infected
ENSMUSG00000000182	Fgf23	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000184	Ccnd2	0.59833974624260855	0.36407228115260054	0.05672515962149981	Infected_vs_Non_Infected
ENSMUSG00000000194	Gpr107	-0.07054945903310882	0.8451959217307545	0.5811904152038581	Infected_vs_Non_Infected
ENSMUSG00000000197	Nalcn	0.26970662622030006	1	0.9129492075453624	Infected_vs_Non_Infected
ENSMUSG00000000202	Btbd17	-1.109919378532694	1	0.7405881384782773	Infected_vs_Non_Infected
ENSMUSG00000000204	Slfn4	3.931006667577521	0.023536550285895432	1.500782840600022e-4	Infected_vs_Non_Infected
ENSMUSG00000000216	Scnn1g	0.007722602531722028	1	0.9799416030151731	Infected_vs_Non_Infected
ENSMUSG00000000223	Drp2	0.3275524750934549	1	0.4382910139713745	Infected_vs_Non_Infected
ENSMUSG00000000244	Tspan32	-0.026724319946019415	1	0.9791046325822909	Infected_vs_Non_Infected
ENSMUSG00000000247	Lhx2	1.4877289134174354	1	0.6564547789138293	Infected_vs_Non_Infected
ENSMUSG00000000253	Gmpr	0.14981239084764578	1	0.7417837393482818	Infected_vs_Non_Infected
ENSMUSG00000000263	Glra1	0.7655573301407503	1	0.8193696077051068	Infected_vs_Non_Infected
ENSMUSG00000000266	Mid2	0.13732848838275188	0.6559562365823913	0.22854481977556915	Infected_vs_Non_Infected
ENSMUSG00000000275	Trim25	0.008454425259083447	1	0.9591228773066316	Infected_vs_Non_Infected
ENSMUSG00000000276	Dgke	0.1413288093316124	1	0.3345614844047782	Infected_vs_Non_Infected
ENSMUSG00000000278	Scpep1	0.2830441539446593	0.6988518036566025	0.1443446161274694	Infected_vs_Non_Infected
ENSMUSG00000000282	Mnt	0.22457069660096532	0.6438724419380936	0.24833745515397282	Infected_vs_Non_Infected
ENSMUSG00000000290	Itgb2	0.30293121966718345	0.6249983081121949	0.10564459742811724	Infected_vs_Non_Infected
ENSMUSG00000000295	Hddc2	0.04590837751037305	1	0.7709042749523332	Infected_vs_Non_Infected
ENSMUSG00000000296	Tpd52l1	-0.06828368293504887	1	0.8667693969545937	Infected_vs_Non_Infected
ENSMUSG00000000301	Pemt	0.2493454711786128	1	0.6629054372587748	Infected_vs_Non_Infected
ENSMUSG00000000303	Cdh1	-0.011480812023152823	0.8941770733536593	0.9085004057953355	Infected_vs_Non_Infected
ENSMUSG00000000305	Cdh4	-0.14665400443109644	1	0.9272874923534428	Infected_vs_Non_Infected
ENSMUSG00000000308	Ckmt1	-0.14410754182611746	0.6169371983667522	0.2793933493753847	Infected_vs_Non_Infected
ENSMUSG00000000317	Bcl6b	0.5853120885068867	1	0.21919625659484143	Infected_vs_Non_Infected
ENSMUSG00000000318	Clec10a	-0.8965053386619027	1	0.7355591595163973	Infected_vs_Non_Infected
ENSMUSG00000000320	Alox12	0.11711099952954926	1	0.8554011426793026	Infected_vs_Non_Infected
